status,publish_at,title,artist,youtube_url,description,keywords
published,2026-07-16T20:00:00+09:00,好きが、今日も増えていく。,榎本魅愛,https://www.youtube.com/watch?v=XAZy5k9Q4rE,榎本魅愛「好きが、今日も増えていく。」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 好きが、今日も増えていく。"
published,2026-07-16T20:00:00+09:00,もしも明日、はじめましてになっても,榎本魅愛,https://www.youtube.com/watch?v=GN6eoBDRm3w,榎本魅愛「もしも明日、はじめましてになっても」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, もしも明日、はじめましてになっても"
published,2026-07-14T20:00:00+09:00,取り扱いチュー💋い,榎本魅愛,https://www.youtube.com/watch?v=QXvpLCnyoOw,榎本魅愛「取り扱いチュー💋い」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 取り扱いチュー💋い"
published,2026-07-14T20:00:00+09:00,SHADOW//CODE,ECLYPSE,https://www.youtube.com/watch?v=8VCL2IepjeM,ECLYPSE「SHADOW//CODE」のSUZUKA公式作品ページ。,"ECLYPSE, エクリプス, K-POP風, ダークポップ, EDM, 運命, 反逆, 未来, SHADOW//CODE"
published,2026-07-14T20:00:00+09:00,OUR KINGDOM,榎本魅愛 × 神代煌牙,https://www.youtube.com/watch?v=y26XVRkpfjw,榎本魅愛 × 神代煌牙「OUR KINGDOM」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, 神代煌牙, 神代 煌牙, かみしろこうが, KOGA KAMISHIRO, J-POP, シネマティック, 愛, 王国, 誓い, 榎本魅愛 × 神代煌牙, OUR KINGDOM"
published,2026-07-14T20:00:00+09:00,未来の私が見てる,榎本魅愛,https://www.youtube.com/watch?v=fgAW1njpSxM,榎本魅愛「未来の私が見てる」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 未来の私が見てる"
published,2026-07-13T20:00:00+09:00,解けない魔法を、愛と呼ぶ,榎本魅愛,https://www.youtube.com/watch?v=CAFQ-d7YHPQ,榎本魅愛「解けない魔法を、愛と呼ぶ」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 解けない魔法を、愛と呼ぶ"
published,2026-07-13T20:00:00+09:00,無敵時間、あと3秒,榎本魅愛,https://www.youtube.com/watch?v=DPnFtRFnH5c,榎本魅愛「無敵時間、あと3秒」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 無敵時間、あと3秒"
published,2026-07-13T20:00:00+09:00,M・I・A,榎本魅愛,https://www.youtube.com/watch?v=WzcXyuAI_FM,榎本魅愛「M・I・A」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, M・I・A"
published,2026-07-13T20:00:00+09:00,君とならラスボスまで,榎本魅愛,https://www.youtube.com/watch?v=YVNs3I-KaHI,榎本魅愛「君とならラスボスまで」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 君とならラスボスまで"
published,2026-07-13T20:00:00+09:00,AIでもわからない,榎本魅愛,https://www.youtube.com/watch?v=5jmTo3Jb5sI,榎本魅愛「AIでもわからない」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, AIでもわからない"
published,2026-07-12T20:00:00+09:00,好きってバレてもいい,榎本魅愛,https://www.youtube.com/watch?v=XP8yXMKFHVI,榎本魅愛「好きってバレてもいい」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 好きってバレてもいい"
published,2026-07-12T20:00:00+09:00,MERMAID×MERMAN,榎本魅愛,https://www.youtube.com/watch?v=29fpeNtUqfY,榎本魅愛「MERMAID×MERMAN」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ファンタジーポップ, 恋愛, 海, 異世界, MERMAID×MERMAN"
published,2026-07-12T20:00:00+09:00,君は花火,榎本魅愛,https://www.youtube.com/watch?v=ohylad3AWYI,榎本魅愛「君は花火」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, サマーポップ, 恋愛, 夏, 記憶, 君は花火"
published,2026-07-12T20:00:00+09:00,百万告,榎本魅愛,https://www.youtube.com/watch?v=QteunhFn9Dk,榎本魅愛「百万告」のSUZUKA公式作品ページ。,"榎本魅愛, えのもとみあ, ENOMOTO MIA, MIA, J-POP, ロマンティックポップ, 恋愛, 百万告"
published,2026-07-30T20:00:00+09:00,恋するマハラジャ,RANGILI,https://www.youtube.com/watch?v=V3DOM83zeLk,RANGILI「恋するマハラジャ」のSUZUKA公式作品ページ。,"RANGILI, J-POP, インド×J-POP, 恋愛, 文化, 恋するマハラジャ"
upcoming,2026-07-31T20:00:00+09:00,Without Worrying,榎本魅愛,https://www.youtube.com/watch?v=lMeYWn4Sqgk,公式YouTubeプレミア公開予定。公開済み作品には含めていません。,
upcoming,2026-08-01T20:00:00+09:00,LOST SIGNAL,ECLYPSE,https://www.youtube.com/watch?v=CbpvpKllc6c,公式YouTubeプレミア公開予定。公開済み作品には含めていません。,
upcoming,2026-08-02T20:00:00+09:00,One More Kiss,神代煌牙,https://www.youtube.com/watch?v=EP7NAPlGhuo,公式YouTubeプレミア公開予定。公開済み作品には含めていません。,
upcoming,2026-08-03T20:00:00+09:00,善人裁判,NOX,https://www.youtube.com/watch?v=8BjnnX3xeGw,公式YouTubeプレミア公開予定。公開済み作品には含めていません。,
